,Timestamp,Date,Close,High,Low,Vwap,MACD Value,Signal,RSI Value,%K,%D,%J,Williams %R,Target
0,1682654400000,2023-04-29,382.05,382.12,378.0,380.7149,2.286114729363476,2.523804197758265,59.407712440066135,58.3944159451543,35.53386418998379,104.11551945549533,-0.6283662477557744,1.0
1,1682913600000,2023-05-02,381.79,383.64,381.52,382.3642,2.4671271129985257,2.5124687808063175,58.942456473771585,85.4545392791451,56.47309571457953,143.41742640827624,-14.612954186413669,1.0
2,1683000000000,2023-05-03,377.51,381.11,374.67,376.9684,2.239406021966147,2.457856229038284,51.756724568481836,78.77948613226471,74.20948045218803,87.91949749241806,-48.420221169036424,-1.0
3,1683086400000,2023-05-04,374.88,380.2,374.6,377.096,1.8256711954084608,2.3314192223123196,47.892956172273365,55.92417061611375,73.38606534250785,21.000381163325557,-69.19431279620864,-1.0
4,1683172800000,2023-05-05,372.14,374.11,370.92,372.4415,1.262139109696193,2.1175631997890942,44.19157918291523,30.658887001102737,55.12084791649374,-18.265034829679266,-90.40880503144675,-1.0
5,1683259200000,2023-05-06,378.97,380.09,375.43,377.9769,1.3510853204949171,1.9642676239302588,53.780536774226356,34.56101523145248,40.38135761622299,22.920330461911462,-36.713836477987186,1.0
6,1683518400000,2023-05-09,379.18,379.62,377.88,379.0264,1.4221276757304508,1.8558396342902974,54.04200325929627,45.938155136268385,37.05268578960787,63.709093829589406,-35.062893081760926,1.0
7,1683604800000,2023-05-10,377.54,378.58,377.33,377.8457,1.3307548466331127,1.7508226767588606,51.58760122657309,60.089098532494916,46.86275630007193,86.54178299734089,-47.95597484276714,-1.0
8,1683691200000,2023-05-11,379.19,380.83,375.64,378.4607,1.3756250819941442,1.6757831578059175,53.85816599439167,60.66561844863741,55.56429070580024,70.86827393431174,-34.98427672955974,-1.0
9,1683777600000,2023-05-12,378.66,378.88,376.67,378.0794,1.3528239834080864,1.6111913229263515,52.99832909418286,59.302935010482315,60.01921733053822,57.87037037037051,-39.150943396226204,1.0
10,1683864000000,2023-05-13,378.15,380.01,375.835,377.5409,1.2788593166137048,1.5447249216638224,52.13578867392711,65.6055645050127,61.858039321377476,73.10061487228313,-43.160377358490734,1.0
11,1684123200000,2023-05-16,379.46,379.84,376.91,378.714,1.3108373205029125,1.4979474014316405,54.197792611543704,72.6588501555319,65.85578322367563,86.26498401924442,-32.86163522012592,1.0
12,1684209600000,2023-05-17,376.95,379.28,376.91,378.0721,1.1207250748832962,1.4225029361219717,49.77331259651606,72.65837417358104,70.30759627804188,77.35992996465936,-52.59433962264162,-1.0
13,1684296000000,2023-05-18,381.45,382.09,377.28,380.1366,1.3179792975473106,1.4015982084070395,56.61201351505342,79.13786642343656,74.81836358418316,87.77687210194338,-17.216981132075492,1.0
14,1684382400000,2023-05-19,385.18,385.57,381.0,383.2063,1.7550533546482825,1.4722892376552883,61.313927861803215,82.43684220039401,78.07769426580387,91.15513806957429,-2.6621160409555427,1.0
15,1684468800000,2023-05-20,384.57,386.54,383.44,384.9886,2.0288287172812147,1.5835971335804737,60.165617503917375,89.46316781594926,83.67929214659328,101.03091915466123,-12.612035851472642,1.0
16,1684728000000,2023-05-23,384.78,386.23,383.47,385.0587,2.2369566655859217,1.7142690399815634,60.44029767030828,87.28410802221039,86.39470601285122,89.06291204092875,-11.26760563380312,1.0
17,1684814400000,2023-05-24,380.48,384.11,380.08,382.1635,2.0315075462737013,1.777716741239991,52.46299393832829,69.7235851091332,82.15695364909762,44.85684802920437,-38.79641485275289,1.0
18,1684900800000,2023-05-25,377.63,379.25,376.57,377.6859,1.6200416260573434,1.7461817182034616,47.94606183680857,48.00400510207723,68.33723274447361,7.337549817284469,-80.19801980198032,-1.0
19,1684987200000,2023-05-26,380.92,382.28,378.92,380.4405,1.541656171459806,1.7052766088547306,52.978963141938166,34.59656565836399,50.77471862319147,2.2402597287090344,-51.559633027522814,1.0
20,1685073600000,2023-05-27,385.87,386.57,381.535,384.8769,1.8575461295790205,1.7357305129995888,59.347581118854755,51.13291938715114,44.57783004919745,64.24309806305853,-6.404391582799526,1.0
21,1685419200000,2023-05-31,385.99,388.26,384.76,386.4756,2.093442294719978,1.8072728693436668,59.490822057249815,72.40419547779366,52.71122684110293,111.79013275117512,-17.98732171156879,1.0
22,1685505600000,2023-06-01,383.89,385.16,382.42,383.8333,2.0868829677538088,1.8631948890256953,55.78630903329911,78.73310521813525,67.42340669436003,101.3525022656857,-35.17102615694165,-1.0
23,1685592000000,2023-06-02,387.57,388.57,382.97,386.407,2.351523005398519,1.9608605123002603,60.435717070662896,78.28866077369076,76.47532048987323,81.91534134132584,-7.8523753435414125,1.0
24,1685678400000,2023-06-03,393.26,393.96,389.54,392.7252,2.9859672171668876,2.1658818532735857,66.33118005409898,83.41966222269447,80.14714273817349,89.96470119173645,-4.025301897642261,1.0
25,1685937600000,2023-06-06,392.5,394.77,391.79,393.3897,3.3883839959921147,2.4103822818172915,64.93927985984692,91.722945765499,84.47708958729474,106.21465812190755,-12.47252747252738,1.0
26,1686024000000,2023-06-07,393.31,393.79,391.41,392.855,3.7296691190489923,2.674239649263632,65.76385704239861,91.82673086928416,88.98977961915921,97.50063336953406,-8.021978021977914,1.0
27,1686110400000,2023-06-08,392.02,394.76,391.54,392.5616,3.8516484135345195,2.9097214021178095,63.21401526440776,87.38511225892937,90.31159629790419,81.53214418097971,-15.10989010989012,1.0
28,1686196800000,2023-06-09,394.37,394.73,391.29,393.6241,4.090787195099722,3.145934560714192,65.81436878407092,90.53519162170237,89.91567824997196,91.77421836516316,-2.197802197802074,1.0
29,1686283200000,2023-06-10,395.03,396.93,394.08,395.394,4.284177554501525,3.3735831594716585,66.52996321912575,88.84437841469332,88.92156076510837,88.69001371386324,-9.332023575638667,1.0
30,1686542400000,2023-06-13,398.66,398.685,395.3,396.759,4.6764443311896,3.634155393815247,70.22200174561277,94.57652956660267,91.31869986766611,101.09218896447578,-0.11304544426849311,1.0
31,1686628800000,2023-06-14,401.29,401.85,399.4,400.7942,5.140283608296272,3.935381036711452,72.58183955414243,94.59525879636703,92.67205559255434,98.44166520399241,-2.215189873417728,1.0
